Species,SVL
A.scriptus,48.69
A.scriptus,40.31
A.scriptus,58.3
A.scriptus,43.15
A.scriptus,45.51
A.scriptus,46.97
A.scriptus,52.88
A.scriptus,57.01
A.scriptus,43.17
A.scriptus,54.2
A.scriptus,41.38
A.scriptus,44.75
A.scriptus,60.75
A.scriptus,46.53
A.scriptus,57.7
A.scriptus,49.3
A.scriptus,53.86
A.scriptus,53.19
A.scriptus,53.68
A.scriptus,41.08
A.scriptus,41.09
A.scriptus,47.06
A.scriptus,52.28
A.scriptus,51.8
A.scriptus,54.18
A.scriptus,58.86
A.scriptus,51.76
A.scriptus,43.49
A.scriptus,56.69
A.scriptus,59.02
A.scriptus,45.87
A.scriptus,42.01
A.scriptus,48.96
A.scriptus,43.61
A.scriptus,56.21
A.scriptus,52.95
A.scriptus,62.44
A.scriptus,54.32
A.scriptus,42.57
A.scriptus,47.44
A.scriptus,47.97
A.scriptus,51.6
A.scriptus,52.96
A.scriptus,45.08
A.scriptus,50.8
A.scriptus,43.35
A.scriptus,52.07
A.scriptus,40.17
A.scriptus,54.2
A. cristatellus,44
A. cristatellus,45
A. cristatellus,43
A. cristatellus,47.5
A. cristatellus,65
A. cristatellus,60.5
A. cristatellus,41.5
A. cristatellus,66
A. cristatellus,41.5
A. cristatellus,58
A. cristatellus,47
A. cristatellus,60
A. cristatellus,57.5
A. cristatellus,68
A. cristatellus,51
A. cristatellus,72.5
A. cristatellus,50
A. cristatellus,43
A. cristatellus,48
A. cristatellus,41.5
A. cristatellus,57
A. cristatellus,68
A. cristatellus,47
A. cristatellus,49
A. cristatellus,65.5
A. cristatellus,63
A. cristatellus,66
A. cristatellus,49
A. cristatellus,63.5
A. cristatellus,47
A. cristatellus,40.5
A. cristatellus,50
A. cristatellus,47.5
A. cristatellus,45.5
A. cristatellus,72
A. cristatellus,65.5
A. cristatellus,64
A. cristatellus,50
A. cristatellus,67
A. cristatellus,66
A. cristatellus,48.5
A. cristatellus,42
A. cristatellus,66
A. cristatellus,45
A. cristatellus,64
A. cristatellus,45
A. cristatellus,59.5
A. cristatellus,67
A. cristatellus,50
A. cristatellus,49
